Puesto,Calle,Direecion
NASO           ,AVDA F LACROZE                ,4169
LOPEZ          ,AVDA F LACROZE                ,4185
RODOLFO56      ,AVDA F LACROZE                ,4185
MANOLO CH      ,AVDA FEDERICO LACROZE         ,4196
CHACARITA61    ,AVDA FEDERICO LACROZE         ,4196
DONATO         ,AVDA GAONA                    ,2320
CARACAS        ,AVDA GAONA                    ,2906
MARTINEZ       ,AVDA GAONA                    ,2524
LUIS27         ,AVDA GAONA                    ,1791
ROBERTO27      ,AVDA GAONA                    ,1950
RAUL27         ,AVDA GAONA                    ,3496
MANCHUCA       ,AVDA GAONA                    ,3519
ANTONIO27      ,AVDA GAONA                    ,3108
BARBIE25       ,AVDA GAONA                    ,3496
SOBRINO25      ,AVDA GAONA                    ,3004
CACHO20        ,AVDA GRAL I CHENAUT           ,1850
A 1-17         ,AVDA GRAL MOSCONI             ,2514
PANCHO         ,AVDA JUAN B JUSTO             ,5061
BOSCO65        ,AVDA LACROZE Y FREIRE         ,0
CHOLO          ,AVDA LUIS M CAMPOS            ,1195
FALUCHO        ,AVDA LUIS M CAMPOS            ,26
PLAZA          ,AVDA LUIS MARIA CAMPOS        ,1700
BONELLI        ,AVDA MAIPU                    ,1507
MELO           ,AVDA MAIPU                    ,897
ESPADA         ,AVDA MAIPU                    ,1508
305,AVDA MAIPU                    ,502
302,AVDA MAIPU                    ,196
308,AVDA MAIPU                    ,99
NORTE          ,AVDA MAIPU                    ,936
ADOLFO         ,AVDA MAIPU                    ,1100
38,AVDA MAIPU                    ,302
CORDOBA        ,AVDA MAIPU                    ,1374
33,AVDA MAIPU                    ,1510
DESEADO        ,AVDA NAZCA                    ,1614
M.17           ,AVDA NAZCA                    ,5517
109,AVDA QUINTEROS                ,1493
PARODI 55      ,AVDA RAUL S ORTIZ             ,242
NU#EZ 55       ,AVDA RAUL S ORTIZ             ,525
318,AVDA RICARDO BALBIN           ,4183
338,AVDA RICARDO BALBIN           ,3714
317,AVDA RICARDO BALBIN           ,3496
16,AVDA SAN ISIDRO               ,4892
LELA           ,AVDA SAN ISIDRO               ,4646
TRAPICHE       ,AVDA SANTA FE                 ,0
207,AVDA SANTA FE                 ,4599
81,AVDA SANTA FE                 ,5082
SANTA FE       ,AVDA SANTA FE                 ,4880
CERVI#O        ,AVDA SANTA FE                 ,4599
20,AVDA SANTA FE                 ,4712
40,AVDA SANTA FE                 ,4602
#ATO 15        ,AVDA TRIUNVIRATO              ,4690
ANTONIO15      ,AVDA TRIUNVIRATO              ,4495
PETACA 15      ,AVDA TRIUNVIRATO              ,4320
NENE17         ,AVDA TRIUNVIRATO              ,4896
